StateAndCounty,State,StateAbbr,County,Population,HousingUnits,AreaInSqMiTotal,AreaInSqMiWater,AreaInSqMiLand,PopPerSqMiLand,HousingUnitsPerSqMiOfLand,LandWatchURL
CA-Siskiyou_County,California,CA,Siskiyou_County,44900,23910,6347.34,69.46,6277.89,7.2,3.8,https://www.landwatch.com/California_land_for_sale/Siskiyou_County/Land
CA-Sierra_County,California,CA,Sierra_County,3240,2328,962.21,9,953.21,3.4,2.4,https://www.landwatch.com/California_land_for_sale/Sierra_County/Land
CA-Shasta_County,California,CA,Shasta_County,177223,77313,3847.42,72.02,3775.4,46.9,20.5,https://www.landwatch.com/California_land_for_sale/Shasta_County/Land
CA-Santa_Cruz_County,California,CA,Santa_Cruz_County,262382,104476,607.17,162,445.17,589.4,234.7,https://www.landwatch.com/California_land_for_sale/Santa_Cruz_County/Land
CA-Santa_Clara_County,California,CA,Santa_Clara_County,1781642,631920,1304.07,13.97,1290.1,1381,489.8,https://www.landwatch.com/California_land_for_sale/Santa_Clara_County/Land
CA-Santa_Barbara_County,California,CA,Santa_Barbara_County,423895,152834,3789.08,1053.99,2735.09,155,55.9,https://www.landwatch.com/California_land_for_sale/Santa_Barbara_County/Land
CA-San_Mateo_County,California,CA,San_Mateo_County,718451,271031,740.96,292.55,448.41,1602.2,604.4,https://www.landwatch.com/California_land_for_sale/San_Mateo_County/Land
CA-San_Luis_Obispo_County,California,CA,San_Luis_Obispo_County,269637,117315,3615.55,316.98,3298.57,81.7,35.6,https://www.landwatch.com/California_land_for_sale/San_Luis_Obispo_County/Land
CA-San_Joaquin_County,California,CA,San_Joaquin_County,685306,233755,1426.5,35.18,1391.32,492.6,168,https://www.landwatch.com/California_land_for_sale/San_Joaquin_County/Land
CA-San_Francisco_County,California,CA,San_Francisco_County,805235,376942,231.89,185.02,46.87,17179.2,8041.8,https://www.landwatch.com/California_land_for_sale/San_Francisco_County/Land
CA-San_Diego_County,California,CA,San_Diego_County,3095313,1164786,4525.68,319.05,4206.63,735.8,276.9,https://www.landwatch.com/California_land_for_sale/San_Diego_County/Land
CA-San_Bernardino_County,California,CA,San_Bernardino_County,2035210,699637,20104.83,47.89,20056.94,101.5,34.9,https://www.landwatch.com/California_land_for_sale/San_Bernardino_County/Land
CA-San_Benito_County,California,CA,San_Benito_County,55269,17870,1390.47,1.76,1388.71,39.8,12.9,https://www.landwatch.com/California_land_for_sale/San_Benito_County/Land
CA-Sacramento_County,California,CA,Sacramento_County,1418788,555932,994.02,29.37,964.64,1470.8,576.3,https://www.landwatch.com/California_land_for_sale/Sacramento_County/Land
CA-Riverside_County,California,CA,Riverside_County,2189641,800707,7303.42,96.94,7206.48,303.8,111.1,https://www.landwatch.com/California_land_for_sale/Riverside_County/Land
CA-Plumas_County,California,CA,Plumas_County,20007,15566,2613.43,60.38,2553.04,7.8,6.1,https://www.landwatch.com/California_land_for_sale/Plumas_County/Land
CA-Placer_County,California,CA,Placer_County,348432,152648,1502.46,95.45,1407.01,247.6,108.5,https://www.landwatch.com/California_land_for_sale/Placer_County/Land
CA-Orange_County,California,CA,Orange_County,3010232,1048907,948.07,157.5,790.57,3807.7,1326.8,https://www.landwatch.com/California_land_for_sale/Orange_County/Land
CA-Nevada_County,California,CA,Nevada_County,98764,52590,973.8,16.03,957.77,103.1,54.9,https://www.landwatch.com/California_land_for_sale/Nevada_County/Land
CA-Napa_County,California,CA,Napa_County,136484,54759,788.58,40.22,748.36,182.4,73.2,https://www.landwatch.com/California_land_for_sale/Napa_County/Land
CA-Monterey_County,California,CA,Monterey_County,415057,139048,3771.22,490.63,3280.6,126.5,42.4,https://www.landwatch.com/California_land_for_sale/Monterey_County/Land
CA-Mono_County,California,CA,Mono_County,14202,13912,3131.88,82.89,3048.98,4.7,4.6,https://www.landwatch.com/California_land_for_sale/Mono_County/Land
CA-Modoc_County,California,CA,Modoc_County,9686,5192,4203.4,285.63,3917.77,2.5,1.3,https://www.landwatch.com/California_land_for_sale/Modoc_County/Land
CA-Merced_County,California,CA,Merced_County,255793,83698,1978.51,43.54,1934.97,132.2,43.3,https://www.landwatch.com/California_land_for_sale/Merced_County/Land
CA-Mendocino_County,California,CA,Mendocino_County,87841,40323,3878.14,371.8,3506.34,25.1,11.5,https://www.landwatch.com/California_land_for_sale/Mendocino_County/Land
CA-Mariposa_County,California,CA,Mariposa_County,18251,10188,1462.82,14,1448.82,12.6,7,https://www.landwatch.com/California_land_for_sale/Mariposa_County/Land
CA-Marin_County,California,CA,Marin_County,252409,111214,828.19,307.89,520.31,485.1,213.7,https://www.landwatch.com/California_land_for_sale/Marin_County/Land
CA-Madera_County,California,CA,Madera_County,150865,49140,2153.27,16.2,2137.07,70.6,23,https://www.landwatch.com/California_land_for_sale/Madera_County/Land
CA-Los_Angeles_County,California,CA,Los_Angeles_County,9818605,3445076,4750.94,693.06,4057.88,2419.6,849,https://www.landwatch.com/California_land_for_sale/Los_Angeles_County/Land
CA-Lassen_County,California,CA,Lassen_County,34895,12710,4720.12,178.94,4541.18,7.7,2.8,https://www.landwatch.com/California_land_for_sale/Lassen_County/Land
CA-Lake_County,California,CA,Lake_County,64665,35492,1329.42,72.96,1256.46,51.5,28.2,https://www.landwatch.com/California_land_for_sale/Lake_County/Land
CA-Kings_County,California,CA,Kings_County,152982,43867,1391.53,2.11,1389.42,110.1,31.6,https://www.landwatch.com/California_land_for_sale/Kings_County/Land
CA-Kern_County,California,CA,Kern_County,839631,284367,8162.64,30.72,8131.92,103.3,35,https://www.landwatch.com/California_land_for_sale/Kern_County/Land
CA-Inyo_County,California,CA,Inyo_County,18546,9478,10226.91,46.03,10180.88,1.8,0.9,https://www.landwatch.com/California_land_for_sale/Inyo_County/Land
CA-Imperial_County,California,CA,Imperial_County,174528,56067,4481.72,305.12,4176.6,41.8,13.4,https://www.landwatch.com/California_land_for_sale/Imperial_County/Land
CA-Humboldt_County,California,CA,Humboldt_County,134623,61559,4052.26,484.27,3567.99,37.7,17.3,https://www.landwatch.com/California_land_for_sale/Humboldt_County/Land
