StateAndCounty,State,StateAbbr,County,Population,HousingUnits,AreaInSqMiTotal,AreaInSqMiWater,AreaInSqMiLand,PopPerSqMiLand,HousingUnitsPerSqMiOfLand,LandWatchURL
ID-Nez_Perce_County,Idaho,ID,Nez_Perce_County,39265,17438,856.28,8.19,848.09,46.3,20.6,https://www.landwatch.com/Idaho_land_for_sale/Nez_Perce_County/Land
ID-Minidoka_County,Idaho,ID,Minidoka_County,20069,7665,762.93,5.34,757.59,26.5,10.1,https://www.landwatch.com/Idaho_land_for_sale/Minidoka_County/Land
ID-Madison_County,Idaho,ID,Madison_County,37536,11280,473.23,4.02,469.21,80,24,https://www.landwatch.com/Idaho_land_for_sale/Madison_County/Land
ID-Lincoln_County,Idaho,ID,Lincoln_County,5208,1976,1205.89,4.48,1201.41,4.3,1.6,https://www.landwatch.com/Idaho_land_for_sale/Lincoln_County/Land
ID-Lewis_County,Idaho,ID,Lewis_County,3821,1880,479.74,0.94,478.8,8,3.9,https://www.landwatch.com/Idaho_land_for_sale/Lewis_County/Land
ID-Lemhi_County,Idaho,ID,Lemhi_County,7936,4729,4568.75,5.36,4563.39,1.7,1,https://www.landwatch.com/Idaho_land_for_sale/Lemhi_County/Land
ID-Latah_County,Idaho,ID,Latah_County,37244,15988,1076.91,0.92,1076,34.6,14.9,https://www.landwatch.com/Idaho_land_for_sale/Latah_County/Land
ID-Kootenai_County,Idaho,ID,Kootenai_County,138494,63177,1315.62,71.5,1244.12,111.3,50.8,https://www.landwatch.com/Idaho_land_for_sale/Kootenai_County/Land
ID-Jerome_County,Idaho,ID,Jerome_County,22374,8101,602.15,4.97,597.18,37.5,13.6,https://www.landwatch.com/Idaho_land_for_sale/Jerome_County/Land
ID-Jefferson_County,Idaho,ID,Jefferson_County,26140,8722,1105.57,12.07,1093.5,23.9,8,https://www.landwatch.com/Idaho_land_for_sale/Jefferson_County/Land
ID-Idaho_County,Idaho,ID,Idaho_County,16267,8744,8503.35,26,8477.35,1.9,1,https://www.landwatch.com/Idaho_land_for_sale/Idaho_County/Land
ID-Gooding_County,Idaho,ID,Gooding_County,15464,6093,733.72,4.75,728.97,21.2,8.4,https://www.landwatch.com/Idaho_land_for_sale/Gooding_County/Land
ID-Gem_County,Idaho,ID,Gem_County,16719,7099,565.71,4.81,560.9,29.8,12.7,https://www.landwatch.com/Idaho_land_for_sale/Gem_County/Land
ID-Fremont_County,Idaho,ID,Fremont_County,13242,8531,1895.68,32.16,1863.53,7.1,4.6,https://www.landwatch.com/Idaho_land_for_sale/Fremont_County/Land
ID-Franklin_County,Idaho,ID,Franklin_County,12786,4528,668.34,4.7,663.64,19.3,6.8,https://www.landwatch.com/Idaho_land_for_sale/Franklin_County/Land
ID-Elmore_County,Idaho,ID,Elmore_County,27038,12162,3100.75,26.02,3074.74,8.8,4,https://www.landwatch.com/Idaho_land_for_sale/Elmore_County/Land
ID-Custer_County,Idaho,ID,Custer_County,4368,3103,4937.31,16.37,4920.94,0.9,0.6,https://www.landwatch.com/Idaho_land_for_sale/Custer_County/Land
ID-Clearwater_County,Idaho,ID,Clearwater_County,8761,4453,2487.99,30.71,2457.27,3.6,1.8,https://www.landwatch.com/Idaho_land_for_sale/Clearwater_County/Land
ID-Clark_County,Idaho,ID,Clark_County,982,531,1765.14,0.96,1764.19,0.6,0.3,https://www.landwatch.com/Idaho_land_for_sale/Clark_County/Land
ID-Cassia_County,Idaho,ID,Cassia_County,22952,8372,2580.28,15.2,2565.08,8.9,3.3,https://www.landwatch.com/Idaho_land_for_sale/Cassia_County/Land
ID-Caribou_County,Idaho,ID,Caribou_County,6963,3226,1798.57,34.43,1764.15,3.9,1.8,https://www.landwatch.com/Idaho_land_for_sale/Caribou_County/Land
ID-Canyon_County,Idaho,ID,Canyon_County,188923,69409,603.55,16.18,587.37,321.6,118.2,https://www.landwatch.com/Idaho_land_for_sale/Canyon_County/Land
ID-Camas_County,Idaho,ID,Camas_County,1117,831,1078.95,4.45,1074.49,1,0.8,https://www.landwatch.com/Idaho_land_for_sale/Camas_County/Land
ID-Butte_County,Idaho,ID,Butte_County,2891,1354,2233.7,2.03,2231.67,1.3,0.6,https://www.landwatch.com/Idaho_land_for_sale/Butte_County/Land
ID-Boundary_County,Idaho,ID,Boundary_County,10972,5175,1277.86,9.3,1268.56,8.6,4.1,https://www.landwatch.com/Idaho_land_for_sale/Boundary_County/Land
ID-Bonneville_County,Idaho,ID,Bonneville_County,104234,39731,1900.64,34.56,1866.08,55.9,21.3,https://www.landwatch.com/Idaho_land_for_sale/Bonneville_County/Land
ID-Bonner_County,Idaho,ID,Bonner_County,40877,24669,1919.5,184.93,1734.57,23.6,14.2,https://www.landwatch.com/Idaho_land_for_sale/Bonner_County/Land
ID-Boise_County,Idaho,ID,Boise_County,7028,5292,1906.69,7.45,1899.24,3.7,2.8,https://www.landwatch.com/Idaho_land_for_sale/Boise_County/Land
ID-Blaine_County,Idaho,ID,Blaine_County,21376,15050,2660.71,17.12,2643.59,8.1,5.7,https://www.landwatch.com/Idaho_land_for_sale/Blaine_County/Land
ID-Bingham_County,Idaho,ID,Bingham_County,45607,16141,2120.41,26.43,2093.98,21.8,7.7,https://www.landwatch.com/Idaho_land_for_sale/Bingham_County/Land
ID-Benewah_County,Idaho,ID,Benewah_County,9285,4629,783.95,7.33,776.62,12,6,https://www.landwatch.com/Idaho_land_for_sale/Benewah_County/Land
ID-Bear_Lake_County,Idaho,ID,Bear_Lake_County,5986,3914,1049.41,74.62,974.78,6.1,4,https://www.landwatch.com/Idaho_land_for_sale/Bear_Lake_County/Land
ID-Bannock_County,Idaho,ID,Bannock_County,82839,33191,1147.43,35.44,1111.99,74.5,29.8,https://www.landwatch.com/Idaho_land_for_sale/Bannock_County/Land
ID-Adams_County,Idaho,ID,Adams_County,3976,2636,1369.77,6.72,1363.06,2.9,1.9,https://www.landwatch.com/Idaho_land_for_sale/Adams_County/Land
ID-Ada_County,Idaho,ID,Ada_County,392365,159471,1060.46,7.89,1052.58,372.8,151.5,https://www.landwatch.com/Idaho_land_for_sale/Ada_County/Land
IL-McLean_County,Illinois,IL,McLean_County,169572,69656,1186.27,2.89,1183.38,143.3,58.9,https://www.landwatch.com/Illinois_land_for_sale/McLean_County/Land
IL-McHenry_County,Illinois,IL,McHenry_County,308760,116040,610.81,7.64,603.17,511.9,192.4,https://www.landwatch.com/Illinois_land_for_sale/McHenry_County/Land
IL-McDonough_County,Illinois,IL,McDonough_County,32612,14419,590.18,0.78,589.41,55.3,24.5,https://www.landwatch.com/Illinois_land_for_sale/McDonough_County/Land
IL-La_Salle_County,Illinois,IL,La_Salle_County,113924,49978,1148.14,13.01,1135.12,100.4,44,https://www.landwatch.com/Illinois_land_for_sale/La_Salle_County/Land
IL-Du_Page_County,Illinois,IL,Du_Page_County,916924,356179,336.41,8.91,327.5,2799.8,1087.6,https://www.landwatch.com/Illinois_land_for_sale/Du_Page_County/Land
IL-DeKalb_County,Illinois,IL,DeKalb_County,105160,41079,634.66,3.35,631.31,166.6,65.1,https://www.landwatch.com/Illinois_land_for_sale/DeKalb_County/Land
IL-Woodford_County,Illinois,IL,Woodford_County,38664,15145,542.64,14.84,527.8,73.3,28.7,https://www.landwatch.com/Illinois_land_for_sale/Woodford_County/Land
IL-Winnebago_County,Illinois,IL,Winnebago_County,295266,125965,519.25,5.89,513.36,575.2,245.4,https://www.landwatch.com/Illinois_land_for_sale/Winnebago_County/Land
IL-Williamson_County,Illinois,IL,Williamson_County,66357,30359,444.35,24.2,420.15,157.9,72.3,https://www.landwatch.com/Illinois_land_for_sale/Williamson_County/Land
IL-Will_County,Illinois,IL,Will_County,677560,237501,849.23,12.32,836.91,809.6,283.8,https://www.landwatch.com/Illinois_land_for_sale/Will_County/Land
IL-Whiteside_County,Illinois,IL,Whiteside_County,58498,25770,696.53,12.28,684.25,85.5,37.7,https://www.landwatch.com/Illinois_land_for_sale/Whiteside_County/Land
IL-White_County,Illinois,IL,White_County,14665,7181,501.86,7.09,494.77,29.6,14.5,https://www.landwatch.com/Illinois_land_for_sale/White_County/Land
IL-Wayne_County,Illinois,IL,Wayne_County,16760,7975,715.49,1.67,713.81,23.5,11.2,https://www.landwatch.com/Illinois_land_for_sale/Wayne_County/Land
IL-Washington_County,Illinois,IL,Washington_County,14716,6534,563.91,1.33,562.57,26.2,11.6,https://www.landwatch.com/Illinois_land_for_sale/Washington_County/Land
IL-Warren_County,Illinois,IL,Warren_County,17707,7682,543.05,0.65,542.41,32.6,14.2,https://www.landwatch.com/Illinois_land_for_sale/Warren_County/Land
IL-Wabash_County,Illinois,IL,Wabash_County,11947,5585,227.51,4.25,223.25,53.5,25,https://www.landwatch.com/Illinois_land_for_sale/Wabash_County/Land
IL-Vermilion_County,Illinois,IL,Vermilion_County,81625,36318,901.28,2.91,898.37,90.9,40.4,https://www.landwatch.com/Illinois_land_for_sale/Vermilion_County/Land
IL-Union_County,Illinois,IL,Union_County,17808,7924,422.15,8.69,413.46,43.1,19.2,https://www.landwatch.com/Illinois_land_for_sale/Union_County/Land
IL-Tazewell_County,Illinois,IL,Tazewell_County,135394,57516,657.94,8.96,648.97,208.6,88.6,https://www.landwatch.com/Illinois_land_for_sale/Tazewell_County/Land
IL-Stephenson_County,Illinois,IL,Stephenson_County,47711,22081,565.06,0.54,564.52,84.5,39.1,https://www.landwatch.com/Illinois_land_for_sale/Stephenson_County/Land
IL-Stark_County,Illinois,IL,Stark_County,5994,2674,288.35,0.27,288.08,20.8,9.3,https://www.landwatch.com/Illinois_land_for_sale/Stark_County/Land
IL-Saint_Clair_County,Illinois,IL,Saint_Clair_County,270056,116249,674.03,16.27,657.76,410.6,176.7,https://www.landwatch.com/Illinois_land_for_sale/Saint_Clair_County/Land
IL-Shelby_County,Illinois,IL,Shelby_County,22363,10396,768.07,9.55,758.52,29.5,13.7,https://www.landwatch.com/Illinois_land_for_sale/Shelby_County/Land
IL-Scott_County,Illinois,IL,Scott_County,5355,2459,252.77,1.86,250.91,21.3,9.8,https://www.landwatch.com/Illinois_land_for_sale/Scott_County/Land
IL-Schuyler_County,Illinois,IL,Schuyler_County,7544,3459,441.33,4.06,437.27,17.3,7.9,https://www.landwatch.com/Illinois_land_for_sale/Schuyler_County/Land
IL-Sangamon_County,Illinois,IL,Sangamon_County,197465,89901,877.02,8.72,868.3,227.4,103.5,https://www.landwatch.com/Illinois_land_for_sale/Sangamon_County/Land
IL-Saline_County,Illinois,IL,Saline_County,24913,11697,386.78,6.96,379.82,65.6,30.8,https://www.landwatch.com/Illinois_land_for_sale/Saline_County/Land
IL-Rock_Island_County,Illinois,IL,Rock_Island_County,147546,65756,451.29,23.65,427.64,345,153.8,https://www.landwatch.com/Illinois_land_for_sale/Rock_Island_County/Land
IL-Richland_County,Illinois,IL,Richland_County,16233,7513,361.9,1.91,359.99,45.1,20.9,https://www.landwatch.com/Illinois_land_for_sale/Richland_County/Land
IL-Randolph_County,Illinois,IL,Randolph_County,33476,13707,597.2,21.7,575.5,58.2,23.8,https://www.landwatch.com/Illinois_land_for_sale/Randolph_County/Land
IL-Putnam_County,Illinois,IL,Putnam_County,6006,3074,172.22,12.06,160.16,37.5,19.2,https://www.landwatch.com/Illinois_land_for_sale/Putnam_County/Land
IL-Pulaski_County,Illinois,IL,Pulaski_County,6161,3155,203.23,4.04,199.18,30.9,15.8,https://www.landwatch.com/Illinois_land_for_sale/Pulaski_County/Land
IL-Pope_County,Illinois,IL,Pope_County,4470,2491,374.3,5.53,368.77,12.1,6.8,https://www.landwatch.com/Illinois_land_for_sale/Pope_County/Land
IL-Pike_County,Illinois,IL,Pike_County,16430,7951,848.88,17.5,831.38,19.8,9.6,https://www.landwatch.com/Illinois_land_for_sale/Pike_County/Land
IL-Piatt_County,Illinois,IL,Piatt_County,16729,7269,439.46,0.26,439.2,38.1,16.6,https://www.landwatch.com/Illinois_land_for_sale/Piatt_County/Land
IL-Perry_County,Illinois,IL,Perry_County,22350,9426,446.95,5.19,441.76,50.6,21.3,https://www.landwatch.com/Illinois_land_for_sale/Perry_County/Land
IL-Peoria_County,Illinois,IL,Peoria_County,186494,83034,630.6,11.39,619.21,301.2,134.1,https://www.landwatch.com/Illinois_land_for_sale/Peoria_County/Land
IL-Ogle_County,Illinois,IL,Ogle_County,53497,22561,762.99,4.41,758.57,70.5,29.7,https://www.landwatch.com/Illinois_land_for_sale/Ogle_County/Land
IL-Moultrie_County,Illinois,IL,Moultrie_County,14846,6260,344.48,8.53,335.94,44.2,18.6,https://www.landwatch.com/Illinois_land_for_sale/Moultrie_County/Land
IL-Morgan_County,Illinois,IL,Morgan_County,35547,15515,572.3,3.51,568.79,62.5,27.3,https://www.landwatch.com/Illinois_land_for_sale/Morgan_County/Land
IL-Montgomery_County,Illinois,IL,Montgomery_County,30104,13080,709.68,5.99,703.69,42.8,18.6,https://www.landwatch.com/Illinois_land_for_sale/Montgomery_County/Land
IL-Monroe_County,Illinois,IL,Monroe_County,32957,13392,398.04,13.02,385.01,85.6,34.8,https://www.landwatch.com/Illinois_land_for_sale/Monroe_County/Land
IL-Mercer_County,Illinois,IL,Mercer_County,16434,7358,568.69,7.49,561.2,29.3,13.1,https://www.landwatch.com/Illinois_land_for_sale/Mercer_County/Land
IL-Menard_County,Illinois,IL,Menard_County,12705,5654,315.46,1.02,314.44,40.4,18,https://www.landwatch.com/Illinois_land_for_sale/Menard_County/Land
IL-Massac_County,Illinois,IL,Massac_County,15429,7113,241.81,4.6,237.22,65,30,https://www.landwatch.com/Illinois_land_for_sale/Massac_County/Land
IL-Mason_County,Illinois,IL,Mason_County,14666,7077,563.46,24.23,539.24,27.2,13.1,https://www.landwatch.com/Illinois_land_for_sale/Mason_County/Land
IL-Marshall_County,Illinois,IL,Marshall_County,12640,5914,398.51,11.73,386.79,32.7,15.3,https://www.landwatch.com/Illinois_land_for_sale/Marshall_County/Land
IL-Marion_County,Illinois,IL,Marion_County,39437,18296,576.04,3.67,572.36,68.9,32,https://www.landwatch.com/Illinois_land_for_sale/Marion_County/Land
IL-Madison_County,Illinois,IL,Madison_County,269282,117106,740.56,24.98,715.58,376.3,163.7,https://www.landwatch.com/Illinois_land_for_sale/Madison_County/Land
IL-Macoupin_County,Illinois,IL,Macoupin_County,47765,21584,867.65,4.74,862.91,55.4,25,https://www.landwatch.com/Illinois_land_for_sale/Macoupin_County/Land
IL-Macon_County,Illinois,IL,Macon_County,110768,50475,585.86,5.18,580.69,190.8,86.9,https://www.landwatch.com/Illinois_land_for_sale/Macon_County/Land
IL-Logan_County,Illinois,IL,Logan_County,30305,12107,618.93,0.87,618.06,49,19.6,https://www.landwatch.com/Illinois_land_for_sale/Logan_County/Land
IL-Livingston_County,Illinois,IL,Livingston_County,38950,15895,1045.93,1.64,1044.29,37.3,15.2,https://www.landwatch.com/Illinois_land_for_sale/Livingston_County/Land
IL-Lee_County,Illinois,IL,Lee_County,36031,15049,728.95,4.06,724.9,49.7,20.8,https://www.landwatch.com/Illinois_land_for_sale/Lee_County/Land
IL-Lawrence_County,Illinois,IL,Lawrence_County,16833,6936,374.14,1.96,372.18,45.2,18.6,https://www.landwatch.com/Illinois_land_for_sale/Lawrence_County/Land
IL-Lake_County,Illinois,IL,Lake_County,703462,260310,1368.48,924.81,443.67,1585.6,586.7,https://www.landwatch.com/Illinois_land_for_sale/Lake_County/Land
IL-Knox_County,Illinois,IL,Knox_County,52919,24077,719.81,3.42,716.39,73.9,33.6,https://www.landwatch.com/Illinois_land_for_sale/Knox_County/Land
IL-Kendall_County,Illinois,IL,Kendall_County,114736,40321,322.32,1.98,320.34,358.2,125.9,https://www.landwatch.com/Illinois_land_for_sale/Kendall_County/Land
IL-Kankakee_County,Illinois,IL,Kankakee_County,113449,45246,681.36,4.81,676.56,167.7,66.9,https://www.landwatch.com/Illinois_land_for_sale/Kankakee_County/Land
IL-Kane_County,Illinois,IL,Kane_County,515269,182047,524.2,4.14,520.06,990.8,350.1,https://www.landwatch.com/Illinois_land_for_sale/Kane_County/Land
IL-Johnson_County,Illinois,IL,Johnson_County,12582,5598,348.86,4.95,343.92,36.6,16.3,https://www.landwatch.com/Illinois_land_for_sale/Johnson_County/Land
IL-Jo_Daviess_County,Illinois,IL,Jo_Daviess_County,22678,13574,618.73,17.64,601.09,37.7,22.6,https://www.landwatch.com/Illinois_land_for_sale/Jo_Daviess_County/Land
IL-Jersey_County,Illinois,IL,Jersey_County,22985,9848,377.13,7.86,369.27,62.2,26.7,https://www.landwatch.com/Illinois_land_for_sale/Jersey_County/Land
IL-Jefferson_County,Illinois,IL,Jefferson_County,38827,16954,583.78,12.62,571.17,68,29.7,https://www.landwatch.com/Illinois_land_for_sale/Jefferson_County/Land
IL-Jasper_County,Illinois,IL,Jasper_County,9698,4345,498.12,3.61,494.51,19.6,8.8,https://www.landwatch.com/Illinois_land_for_sale/Jasper_County/Land
IL-Jackson_County,Illinois,IL,Jackson_County,60218,28578,602.38,18.3,584.08,103.1,48.9,https://www.landwatch.com/Illinois_land_for_sale/Jackson_County/Land
IL-Iroquois_County,Illinois,IL,Iroquois_County,29718,13452,1118.93,1.61,1117.32,26.6,12,https://www.landwatch.com/Illinois_land_for_sale/Iroquois_County/Land
IL-Henry_County,Illinois,IL,Henry_County,50486,22161,825.64,2.66,822.99,61.3,26.9,https://www.landwatch.com/Illinois_land_for_sale/Henry_County/Land
IL-Henderson_County,Illinois,IL,Henderson_County,7331,3827,395.22,16.35,378.87,19.3,10.1,https://www.landwatch.com/Illinois_land_for_sale/Henderson_County/Land
IL-Hardin_County,Illinois,IL,Hardin_County,4320,2488,181.58,4.05,177.53,24.3,14,https://www.landwatch.com/Illinois_land_for_sale/Hardin_County/Land
IL-Hancock_County,Illinois,IL,Hancock_County,19104,9274,814.4,20.67,793.73,24.1,11.7,https://www.landwatch.com/Illinois_land_for_sale/Hancock_County/Land
IL-Hamilton_County,Illinois,IL,Hamilton_County,8457,4104,435.89,1.23,434.67,19.5,9.4,https://www.landwatch.com/Illinois_land_for_sale/Hamilton_County/Land
IL-Grundy_County,Illinois,IL,Grundy_County,50063,19996,430.45,12.4,418.04,119.8,47.8,https://www.landwatch.com/Illinois_land_for_sale/Grundy_County/Land
IL-Greene_County,Illinois,IL,Greene_County,13886,6389,546.27,3.25,543.02,25.6,11.8,https://www.landwatch.com/Illinois_land_for_sale/Greene_County/Land
IL-Gallatin_County,Illinois,IL,Gallatin_County,5589,2746,328.18,5.11,323.07,17.3,8.5,https://www.landwatch.com/Illinois_land_for_sale/Gallatin_County/Land
IL-Fulton_County,Illinois,IL,Fulton_County,37069,16195,882.57,16.98,865.59,42.8,18.7,https://www.landwatch.com/Illinois_land_for_sale/Fulton_County/Land
IL-Franklin_County,Illinois,IL,Franklin_County,39561,18525,431.44,22.55,408.89,96.8,45.3,https://www.landwatch.com/Illinois_land_for_sale/Franklin_County/Land
IL-Ford_County,Illinois,IL,Ford_County,14081,6282,486.24,0.63,485.62,29,12.9,https://www.landwatch.com/Illinois_land_for_sale/Ford_County/Land
IL-Fayette_County,Illinois,IL,Fayette_County,22140,9302,725.34,8.86,716.48,30.9,13,https://www.landwatch.com/Illinois_land_for_sale/Fayette_County/Land
IL-Effingham_County,Illinois,IL,Effingham_County,34242,14570,480.01,1.23,478.78,71.5,30.4,https://www.landwatch.com/Illinois_land_for_sale/Effingham_County/Land
IL-Edwards_County,Illinois,IL,Edwards_County,6721,3187,222.72,0.3,222.42,30.2,14.3,https://www.landwatch.com/Illinois_land_for_sale/Edwards_County/Land
IL-Edgar_County,Illinois,IL,Edgar_County,18576,8803,624,0.62,623.37,29.8,14.1,https://www.landwatch.com/Illinois_land_for_sale/Edgar_County/Land
IL-Douglas_County,Illinois,IL,Douglas_County,19980,8390,417.22,0.56,416.66,48,20.1,https://www.landwatch.com/Illinois_land_for_sale/Douglas_County/Land
IL-DeWitt_County,Illinois,IL,DeWitt_County,16561,7521,405.08,7.57,397.51,41.7,18.9,https://www.landwatch.com/Illinois_land_for_sale/DeWitt_County/Land
IL-Cumberland_County,Illinois,IL,Cumberland_County,11048,4874,347,0.98,346.02,31.9,14.1,https://www.landwatch.com/Illinois_land_for_sale/Cumberland_County/Land
IL-Crawford_County,Illinois,IL,Crawford_County,19817,8661,445.82,2.19,443.63,44.7,19.5,https://www.landwatch.com/Illinois_land_for_sale/Crawford_County/Land
IL-Cook_County,Illinois,IL,Cook_County,5194675,2180359,1634.86,689.53,945.33,5495.1,2306.5,https://www.landwatch.com/Illinois_land_for_sale/Cook_County/Land
IL-Coles_County,Illinois,IL,Coles_County,53873,23425,510.08,1.79,508.29,106,46.1,https://www.landwatch.com/Illinois_land_for_sale/Coles_County/Land
IL-Clinton_County,Illinois,IL,Clinton_County,37762,15311,503.27,29.19,474.09,79.7,32.3,https://www.landwatch.com/Illinois_land_for_sale/Clinton_County/Land
IL-Clay_County,Illinois,IL,Clay_County,13815,6404,469.59,1.28,468.32,29.5,13.7,https://www.landwatch.com/Illinois_land_for_sale/Clay_County/Land
IL-Clark_County,Illinois,IL,Clark_County,16335,7772,504.82,3.4,501.42,32.6,15.5,https://www.landwatch.com/Illinois_land_for_sale/Clark_County/Land
IL-Christian_County,Illinois,IL,Christian_County,34800,15563,715.64,6.26,709.38,49.1,21.9,https://www.landwatch.com/Illinois_land_for_sale/Christian_County/Land
IL-Champaign_County,Illinois,IL,Champaign_County,201081,87569,998.39,2.13,996.27,201.8,87.9,https://www.landwatch.com/Illinois_land_for_sale/Champaign_County/Land
IL-Cass_County,Illinois,IL,Cass_County,13642,5836,383.76,7.95,375.82,36.3,15.5,https://www.landwatch.com/Illinois_land_for_sale/Cass_County/Land
IL-Carroll_County,Illinois,IL,Carroll_County,15387,8437,466.36,21.55,444.81,34.6,19,https://www.landwatch.com/Illinois_land_for_sale/Carroll_County/Land
IL-Calhoun_County,Illinois,IL,Calhoun_County,5089,2835,283.58,29.75,253.82,20,11.2,https://www.landwatch.com/Illinois_land_for_sale/Calhoun_County/Land
IL-Bureau_County,Illinois,IL,Bureau_County,34978,15720,873.5,4.47,869.03,40.2,18.1,https://www.landwatch.com/Illinois_land_for_sale/Bureau_County/Land
IL-Brown_County,Illinois,IL,Brown_County,6937,2462,307.21,1.6,305.61,22.7,8.1,https://www.landwatch.com/Illinois_land_for_sale/Brown_County/Land
IL-Boone_County,Illinois,IL,Boone_County,54165,19970,282.02,1.31,280.72,193,71.1,https://www.landwatch.com/Illinois_land_for_sale/Boone_County/Land
IL-Bond_County,Illinois,IL,Bond_County,17768,7089,382.76,2.48,380.28,46.7,18.6,https://www.landwatch.com/Illinois_land_for_sale/Bond_County/Land
IL-Alexander_County,Illinois,IL,Alexander_County,8238,4006,252.6,17.09,235.51,35,17,https://www.landwatch.com/Illinois_land_for_sale/Alexander_County/Land
IL-Adams_County,Illinois,IL,Adams_County,67103,29842,871.34,16.14,855.2,78.5,34.9,https://www.landwatch.com/Illinois_land_for_sale/Adams_County/Land
IN-La_Porte_County,Indiana,IN,La_Porte_County,111467,48448,613.26,14.96,598.3,186.3,81,https://www.landwatch.com/Indiana_land_for_sale/La_Porte_County/Land
IN-LaGrange_County,Indiana,IN,LaGrange_County,37128,14094,386.7,7.08,379.62,97.8,37.1,https://www.landwatch.com/Indiana_land_for_sale/LaGrange_County/Land
IN-DeKalb_County,Indiana,IN,DeKalb_County,42223,17558,363.85,1.03,362.82,116.4,48.4,https://www.landwatch.com/Indiana_land_for_sale/DeKalb_County/Land
IN-Whitley_County,Indiana,IN,Whitley_County,33292,14281,337.91,2.34,335.57,99.2,42.6,https://www.landwatch.com/Indiana_land_for_sale/Whitley_County/Land
IN-White_County,Indiana,IN,White_County,24643,12970,508.68,3.55,505.12,48.8,25.7,https://www.landwatch.com/Indiana_land_for_sale/White_County/Land
IN-Wells_County,Indiana,IN,Wells_County,27636,11659,370.25,2.16,368.09,75.1,31.7,https://www.landwatch.com/Indiana_land_for_sale/Wells_County/Land
IN-Wayne_County,Indiana,IN,Wayne_County,68917,31242,404.34,2.6,401.74,171.5,77.8,https://www.landwatch.com/Indiana_land_for_sale/Wayne_County/Land
IN-Washington_County,Indiana,IN,Washington_County,28262,12220,516.6,2.87,513.73,55,23.8,https://www.landwatch.com/Indiana_land_for_sale/Washington_County/Land
IN-Warrick_County,Indiana,IN,Warrick_County,59689,24203,391.05,6.24,384.82,155.1,62.9,https://www.landwatch.com/Indiana_land_for_sale/Warrick_County/Land
IN-Warren_County,Indiana,IN,Warren_County,8508,3680,366.41,1.72,364.68,23.3,10.1,https://www.landwatch.com/Indiana_land_for_sale/Warren_County/Land
IN-Wabash_County,Indiana,IN,Wabash_County,32888,14171,420.98,8.54,412.43,79.7,34.4,https://www.landwatch.com/Indiana_land_for_sale/Wabash_County/Land
IN-Vigo_County,Indiana,IN,Vigo_County,107848,46006,410.45,7.14,403.31,267.4,114.1,https://www.landwatch.com/Indiana_land_for_sale/Vigo_County/Land
IN-Vermillion_County,Indiana,IN,Vermillion_County,16212,7488,259.93,3.05,256.88,63.1,29.1,https://www.landwatch.com/Indiana_land_for_sale/Vermillion_County/Land
IN-Vanderburgh_County,Indiana,IN,Vanderburgh_County,179703,83003,236.33,2.85,233.48,769.7,355.5,https://www.landwatch.com/Indiana_land_for_sale/Vanderburgh_County/Land
IN-Union_County,Indiana,IN,Union_County,7516,3239,165.18,3.95,161.22,46.6,20.1,https://www.landwatch.com/Indiana_land_for_sale/Union_County/Land
IN-Tipton_County,Indiana,IN,Tipton_County,15936,6998,260.57,0.03,260.54,61.2,26.9,https://www.landwatch.com/Indiana_land_for_sale/Tipton_County/Land
IN-Tippecanoe_County,Indiana,IN,Tippecanoe_County,172780,71096,503.24,3.44,499.81,345.7,142.2,https://www.landwatch.com/Indiana_land_for_sale/Tippecanoe_County/Land
IN-Switzerland_County,Indiana,IN,Switzerland_County,10613,4969,223.44,2.81,220.63,48.1,22.5,https://www.landwatch.com/Indiana_land_for_sale/Switzerland_County/Land
IN-Sullivan_County,Indiana,IN,Sullivan_County,21475,8939,454.12,6.97,447.14,48,20,https://www.landwatch.com/Indiana_land_for_sale/Sullivan_County/Land
IN-Steuben_County,Indiana,IN,Steuben_County,34185,19377,322.47,13.53,308.94,110.7,62.7,https://www.landwatch.com/Indiana_land_for_sale/Steuben_County/Land
IN-Starke_County,Indiana,IN,Starke_County,23363,10962,312.21,3.07,309.13,75.6,35.5,https://www.landwatch.com/Indiana_land_for_sale/Starke_County/Land
IN-St_Joseph_County,Indiana,IN,St_Joseph_County,266931,114849,461.39,3.54,457.85,583,250.8,https://www.landwatch.com/Indiana_land_for_sale/St_Joseph_County/Land
IN-Spencer_County,Indiana,IN,Spencer_County,20952,8872,401.43,4.68,396.74,52.8,22.4,https://www.landwatch.com/Indiana_land_for_sale/Spencer_County/Land
IN-Shelby_County,Indiana,IN,Shelby_County,44436,19080,412.76,1.61,411.15,108.1,46.4,https://www.landwatch.com/Indiana_land_for_sale/Shelby_County/Land
IN-Scott_County,Indiana,IN,Scott_County,24181,10440,192.75,2.35,190.4,127,54.8,https://www.landwatch.com/Indiana_land_for_sale/Scott_County/Land
IN-Rush_County,Indiana,IN,Rush_County,17392,7508,408.46,0.34,408.12,42.6,18.4,https://www.landwatch.com/Indiana_land_for_sale/Rush_County/Land
IN-Ripley_County,Indiana,IN,Ripley_County,28818,11952,448.06,1.64,446.43,64.6,26.8,https://www.landwatch.com/Indiana_land_for_sale/Ripley_County/Land
IN-Randolph_County,Indiana,IN,Randolph_County,26171,11743,453.31,0.93,452.38,57.9,26,https://www.landwatch.com/Indiana_land_for_sale/Randolph_County/Land
