listing_url,pid,acres,price,price_per_acre,city,description,county,state,office_name,office_url,office_status,date_first_seen
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/322105677,322105677,0.63,20000,31746.03175,Milton,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/322105670,322105670,0.6,20000,33333.33333,Milton,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/27939391,27939391,2.33,27500,11802.57511,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/27923303,27923303,1.09,15000,13761.46789,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/27939415,27939415,1.32,20000,15151.51515,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/27923300,27923300,1.04,15000,14423.07692,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/335902184,335902184,102,475000,4656.862745,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/334145825,334145825,2.24,20000,8928.571429,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/322105674,322105674,0.63,20000,31746.03175,Milton,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/336071756,336071756,2.12,49900,23537.73585,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/334390342,334390342,4.36,45000,10321.10092,Bedford,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
https://www.landwatch.com/Trimble-County-Kentucky-Land-for-sale/pid/336539467,336539467,1.07,12900,12056.07477,Pendleton,DescNotPresent,Trimble_County,KY,OfficeNameNotPresent,OfficeURLNotPresent,OfficeStatusBlank,11/4/19
